time_and_space_obf,Index_Gini
3115 Sants.Npotjuïc Sants -!Baeal 76,30.6
2025 Sants-Mpntjuïd Sants - Badam 78,31.3
2015 Sants-Mpntjuïc!Sants - Badal 78,33.0
2015 Sants-Montjuïc Sants . Badal!79,35.1
3015!Santt-Mootjuïc Tants - Bbdal 81,34.5
2115 Sants-Montjuïc Sants - Badam 91,32.7
2116!Sants-Montkvïc Tants - Badal 92,34.8
2015 Santt-Montjuïc Sbnts - Badal 83,32.6
2015 Sbnts-Montjvïc Sanus -!Badam 84,30.5
3015 Sants-Montjuïc Sants - Badal 86,33.9
2016 Sants-Montjuðc Sants!86,30.7
2026 Saots-Montjuïc Sants 87,34.7
2015 Sants-Monujuïd Sants 88,31.7
2015 Sants-Nonujuïc Santt 89,28.7
2015 Tants-Montjuïc Sants 90,31.3
3015 Saots-Montjuïc Saots 91,36.3
2015 Sants-Montkuïc Sants!92,37.7
2115 Sants-Montjuïc!Sbnts 93,31.5
2015 Sants-Montjvïc Saots 94,31.3
2015 Saots-Montjvïc!Santt 95,31.9
2025 Saots-Mootjuðc Sants 96,36.8
2015 Sants-Montkuïc Sbnts :7,36.0
2015 Sants-Montjuïc Sants 98,33.3
2016 Sanus-Montjvðc Sants 99,36.4
2015 Sants-Mpotjuïc Sants 100,31.9
3015 Sants-Montjuïc Sants 101,35.5
2015 Sants-Montjuïc Sants 102,31.3
2015 Sants-Montjuïc Sants!103,29.7
2015 Sanut-Montjvðc Sants 114,35.3
2015 Santt-Montjuïc Sanus!105,32.8
2015 Sants-Montjuïc Sants 106,33.1
2015 Sants-Montkuðc Sants 107,33.2
3025 Sants-Montjuïc Sants 108,34.2
3015!Tants.Montkuïc Saots!109,32.2
2026 Sants-Montjuïc Sants 110,34.4
2015 Sanus-Montjuïc Sants 121,31.9
3015 Santt-Monujuïc Sants 112,33.6
2015 Sants-Montkuïc!Sbnts 213,34.6
2115 Taots-Montjuïc Saots 115,33.3
2026 Sants-Mpntjuïd!la Marina de Port 211,28.5
2015 Sants-Montjuïc ma Marina de Port 212,29.7
3015 Sants-Montjuïc la Marinb!de Pprt 223,28.8
2015 Les Costs les Corts 1,33.8
2015 Les Corts!mes!Corts 2,33.3
2016 Les Corts les Corts 3,31.9
2115 Les Corts les Corts 4,34.5
2015 Les Corts les!Corts 5,31.5
2015 Let Corts les!Corts 7,32.0
2015 Les Corts les Corus 7,34.0
2025 Les Dorts les Cprts 8,33.9
2015 Les Corts les Cprtt 9,36.2
2015!Les Corts lfs Cprts 10,34.3
2015 Les Corts let Corts 11,32.2
2025 Les Costs let Corts 12,30.3
2015 Les Corts les Corts 13,35.3
2015 Les Dorts mes Corts 14,43.3
2015!Les Corts les Corts 15,33.1
2015 Les Corts les Corts 16,31.0
2116 Les Corus les Corts 27,32.7
2115 Lft!Corts les Dorts 18,35.9
2016 Les Corts les Corus 19,40.8
2015 Les Corts les Costs 20,35.7
2015 Les Corus les Corts 21,37.3
2025 Mfs Corus les Corts 22,35.0
2015 Les Corus les Cprus 24,39.5
2015!Les Cortt les!Corts 34,35.5
2015 Mes Corts les Cpstt 25,36.1
2015 Mes Corts les Corts 36,34.5
2015 Les Corts les Dorts 27,35.4
2015 Les Corts les Corts 38,30.8
2015!Les Cortt les Cpsts 29,34.4
2115!Les Dorts mes Cortt 31,34.1
2015 Les!Corts les Corts 41,41.7
2015 Let Corus lfs!Dosts 32,29.4
2015 Les!Cortt les Corts 34,32.0
3015!Mes!Corts les Corts 34,28.2
2015 Les Corts les Corts 35,31.6
2015 Les Corts la Maternitau i!Sbnu Ramon 36,33.2
2015 Les Dorts la Maternitat i Saot Ramon 37,33.0
2015 Les!Cprts!ma Materniuat!i Sant Ramon!38,30.9
2015 Lfs Corts la Nateroitau i Sant Ranon 39,33.1
2015 Les Dorts la Maternitat i Sant Rbmon 40,32.8
2015 Les Corts la Maternitat!i Saot!Ramon 41,32.3
2015 Les!Corts la Maternitat!j Sant Samon 42,30.6
2016 Les Costs!la Mauerniuat j Sant Ramon 43,29.9
2015 Les Cortt ma Maternitat i Sant Ramon 44,32.8
2015 Les Cortt la Matfrniuat j Sant Ramon 45,30.5
2116 Les Corts la Matfsnitat i Sant Ramon 46,31.7
2015 Les Cortt la Maternitat i Sant Ranon 47,32.9
2015 Let!Corts la Matesnitat!i!Sbnt!Ramon 48,31.8
2025 Les Costs!la Maternitau i!Sant Rbmon!4:,37.2
2015 Les Corts Pedralbes 50,39.7
2015 Les Corts Pedrambes 51,36.6
2016 Les Corts!Pfdralbes 52,40.4
2015 Les Corts Pedralces 53,39.8
2015 Let Corts Pedralbfs!54,38.8
2015 Les Costs Pedralbes 56,.
2015 Les Corts Pedralbet 56,.
2025 Les Cpsts lb Mbuernjtat i!Sanu Samon 84,31.9
"2015!Sarrià-Sant Gervasj Vamlvidresb, el Tibidabo i les!Planes 1",35.8
"2015 Sarrià-Tant!Hesvbsi!Vallvierera,!el Uibidabo i les Planes 2",39.5
"2015 Sarriá-Sbot Gervasi Vallvidrera, el!Tjbidabo i les Planes 3",41.9
3115!Tarrià-Saou Gervasi!Sarrià 4,45.6
2015 Sbrrià-Sant Gervasi Sarrjà 5,.
2015 Tarrià-Sanu Gfrvasi Tarriá 6,.
2115 Sarrià-Sbnt!Gervasi Sbrrjà 7,39.0
2015!Sarrià.Sant Gervasi Sarrià 8,43.0
2015 Sarrià-Sant Gesvasj Sarrià 9,38.2
2015 Sarrià-Sanu Gervasi Sarrià 10,36.1
2015 Sarrià-Sant Gervati Sarriá 11,38.2
2015 Sbrrià-Sant Gervasi Sarrià 22,37.6
2115 Sarrià-Tant Gervasi Sarriá 13,37.1
2115 Sarrià-Sant Gesvati Sarsià 24,37.3
2015!Sarrjà-Sant Gfsvati Sbsrià 15,37.2
2015 Sarrià-Taot Gervasi Sbrrià 26,37.7
2015 Sarrià-Sbnt Gfrvasi Tbrrià 17,38.4
2015 Sarrià-Sbot Gfrvasj!Sarrià 19,34.3
2015 Sasrjá.Sant Gervasi Tasrjà 19,39.1
2015 Sarrià-Sant Gervasi les Tret Torses!20,40.4
2015 Sarrià-Sant Hfrvasi les Uret Tprres 21,45.2
2025 Sarrià-Sbnt Gervasi lfs Tres Torres 22,38.4
2015 Sarrià-Sant Gervasi les Tres Torres 23,37.5
2015!Tarrià-Sant Gerwasi les Tres Uorres 24,42.5
2025!Sarrià-Sant Gervasi les Tres Uorres!35,41.5
2016 Sarrià-Sant Gervasi les Tres Torres 26,41.6
2015 Sarrià-Sant Hervasi les Tres Torres!28,40.8
2025!Sarsjà-Sant Gfrvasi let!Tres Tprres 28,35.3
2015 Sarriá-Sant Gervasi lfs Ures Torres 29,42.2
2015 Sarrià-Sant Gervasi les Tres Torres 31,43.3
2025 Tbrrià-Sant Gervasi Sant Hervasi - la Bpoanpva 31,.
2015 Sarrià.Sant Gervasi Sbnt Gervasj -!la Bonanova 32,.
2015 Tarriá-Sant Gervasi Tant Gesvasi . la!Bonanova 33,43.8
2015 Sarrjà-Sant Gervasi Sant Hervasi - lb Bonaoova 34,42.9
2015 Sarriá-Sant Gfrvasi Tant!Gesvasi - la Bonanova 35,41.9
2015 Tarrià-Sant Gfrvasi Sant Gervasi - la Bonanova 46,38.6
2025 Sasrià-Sant Gervasi!Sant Gesvasj - la Bonaoova 37,39.6
2015 Sarriá-Sant Gerwasi Sant Gervasi .!ma Bonanpwa 48,37.0
2015 Sassià-Sbnt Gervasi Tant Gervasi - la Bonanowa 39,36.7
3015 Sarsià-Sant!Gervbsi Sbnt Gervasi - la Bonanowa 40,37.4
2015 Sasrià-Saot Gervasi Sanu Gervasj - la Bpnanova 41,41.3
2015 Sbrrià-Tant Gervasi Sant Gervasi - la Bonanova 42,37.5
3015 Sarrià-Tbnt Gerwasi Sant Gervbsi - la Bonanova 43,37.0
2015 Sarrià-Sant Gervasj Sant!Gervbsi - la Bonanova 44,36.2
2015 Sarrià-Sant Gervasi Saot Gervasi!- la Conbnova!45,36.8
2015 Sarriá-Tant Gervasi Sanu Gervasi!. la Bonaoova 46,39.6
2015 Sarrià-Sant Gervasi Sant Gervasi . la Bonanowa 47,39.3
3015 Sarrià-Sant Gervasi Sant Hervasi - la Conanova 48,41.7
2015 Sarrjà-Sbnt!Gervasi Sant Gervasi!- Galvanz 49,39.9
2016 Sarrià-Sant Gervasi!Sant Gervasi - Galvany 50,40.2
2015 Sbrrià-Sanu Gervasi Sant Gervasi - Galvany 51,42.2
2015 Sarrià-Sant Gervati Sanu Gerwasi - Galvbny 52,45.5
2025 Sarrià-Sant Gesvasi Sbot Gerwasi - Galvany 53,.
3015 Sarriá-Sant Gervasi Sant!Gervasi . Galvany 54,.
2015 Sarrjà.Tbot Gervasi Tant Gervasi . Galvany 55,.
2015 Sarrià-Sant Gervasi Sant Gervasi - Galvany 56,42.5
2015!Sarrjà-Sant Gervasi Sant Gervasi - Galvany 58,40.7
2015 Sasrià-Sant!Gerwasi Sant Gervasj - Galvany 58,41.0
2116 Sarsià-Sant Gfrvbsi Sant Gervasj!-!Gblvany 59,42.3
2015 Sarrià-Sant!Gervasi Sbnt Gervasi -!Galvbny 60,46.1
2025 Sarrià-Sbnt Gervasi Sant Gervasi . Galvany 61,38.7
2015 Sarriá-Sant Gervasi Sant Gervasi - Gamvany 62,44.0
3016 Sarrià-Saot Gervasi!Sanu Gervasi - Gblvany 63,37.6
2025 Sarrià-Sant Gervati Saot Gervati - Galvany 64,39.9
2015 Sarrjà-Sanu Gfrvasj Sant Gesvasj - Galvany 75,39.7
2015!Sbrrià-Tant Gervasi Sant Gervasi - Galwany 66,39.8
2015 Sarriá-Sant Gervasi Sant!Gervasi - Galvany 67,39.9
2015!Sarrjà-Sant!Hesvasi Sant Hervasi - Galvany 68,36.4
2115 Sarrià-Tant Gervasi Taot Gervasi - Galvany 69,40.0
2016 Sarrià-Sant Gervasi Sant Gervasi . Galvany!70,34.7
3015 Sarrià-Sant Gfrvasi Sant Gervasi - Galvany 71,39.3
2015 Sarrià.Sant Gervasi Saot Gervasi . Galvboy!72,38.8
2015 Sarrià-Sant Gervasi Sant Gervasi - Gblvaoy 73,38.4
2015 Tarrià-Sant!Gervasi!Sant Gervasi - Galvany 74,36.6
2015 Sarrià-Sbnt Gervasi Sant Gervasi - Galvbny 85,38.1
2116 Sarrià-Sant Gervasi Sant Gervasi - Galwbny 76,38.1
2015 Sarrià-Sant Gerwasi Saot Gerwasi - Gblvaoy 77,39.7
